group, image, marker_id, v0_x, v0_y, v1_x, v1_y, v2_x, v2_y, v3_x, v3_y
grp0, 6.png, 5, 593.0, 1080.0, 771.0, 1076.0, 764.0, 1243.0, 587.0, 1249.0
grp0, 6.png, 4, 242.0, 1080.0, 419.0, 1076.0, 412.0, 1243.0, 235.0, 1249.0
grp0, 6.png, 3, 710.0, 670.0, 888.0, 665.0, 881.0, 833.0, 704.0, 838.0
grp0, 6.png, 2, 242.0, 670.0, 419.0, 665.0, 412.0, 833.0, 235.0, 838.0
grp0, 6.png, 1, 827.0, 143.0, 1005.0, 138.0, 998.0, 306.0, 821.0, 311.0
grp0, 6.png, 0, 242.0, 143.0, 419.0, 138.0, 412.0, 306.0, 235.0, 311.0
grp0, 7.png, 7, 664.0, 1373.0, 841.0, 1368.0, 834.0, 1536.0, 657.0, 1541.0
grp0, 7.png, 6, 335.0, 1373.0, 513.0, 1369.0, 506.0, 1536.0, 329.0, 1541.0
grp0, 7.png, 5, 640.0, 1080.0, 817.0, 1076.0, 811.0, 1243.0, 634.0, 1249.0
grp0, 7.png, 4, 265.0, 1080.0, 442.0, 1076.0, 436.0, 1243.0, 259.0, 1249.0
grp0, 7.png, 3, 722.0, 670.0, 899.0, 665.0, 893.0, 833.0, 716.0, 838.0
grp0, 7.png, 2, 247.0, 670.0, 425.0, 665.0, 418.0, 833.0, 241.0, 838.0
grp0, 7.png, 1, 830.0, 143.0, 1008.0, 138.0, 1001.0, 306.0, 824.0, 311.0
grp0, 7.png, 0, 242.0, 143.0, 419.0, 138.0, 412.0, 306.0, 235.0, 311.0
grp1, 0.png, 7, 487.0, 1370.0, 654.0, 1360.0, 635.0, 1539.0, 469.0, 1549.0
grp1, 0.png, 6, 253.0, 1370.0, 419.0, 1360.0, 401.0, 1539.0, 234.0, 1549.0
grp1, 0.png, 5, 604.0, 1078.0, 771.0, 1067.0, 753.0, 1246.0, 586.0, 1256.0
grp1, 0.png, 4, 253.0, 1077.0, 419.0, 1067.0, 401.0, 1246.0, 234.0, 1256.0
grp1, 0.png, 3, 722.0, 667.0, 888.0, 657.0, 870.0, 836.0, 703.0, 846.0
grp1, 0.png, 2, 253.0, 667.0, 419.0, 657.0, 401.0, 836.0, 234.0, 846.0
grp1, 0.png, 1, 839.0, 140.0, 1005.0, 130.0, 987.0, 309.0, 820.0, 319.0
grp1, 0.png, 0, 253.0, 140.0, 419.0, 130.0, 401.0, 309.0, 234.0, 319.0
grp1, 1.png, 7, 675.0, 1370.0, 841.0, 1360.0, 823.0, 1539.0, 656.0, 1549.0
grp1, 1.png, 6, 347.0, 1370.0, 513.0, 1360.0, 495.0, 1539.0, 328.0, 1549.0
grp1, 1.png, 5, 651.0, 1078.0, 818.0, 1067.0, 800.0, 1245.0, 633.0, 1256.0
grp1, 1.png, 4, 276.0, 1078.0, 443.0, 1067.0, 425.0, 1245.0, 258.0, 1256.0
grp1, 1.png, 3, 733.0, 667.0, 900.0, 657.0, 882.0, 835.0, 715.0, 846.0
grp1, 1.png, 2, 259.0, 667.0, 425.0, 657.0, 407.0, 836.0, 240.0, 846.0
grp1, 1.png, 1, 842.0, 140.0, 1008.0, 130.0, 990.0, 309.0, 823.0, 319.0
grp1, 1.png, 0, 253.0, 140.0, 419.0, 130.0, 401.0, 309.0, 234.0, 319.0
grp1, 2.png, 7, 453.0, 1393.0, 642.0, 1364.0, 669.0, 1516.0, 481.0, 1545.0
grp1, 2.png, 6, 219.0, 1393.0, 407.0, 1364.0, 435.0, 1516.0, 246.0, 1545.0
grp1, 2.png, 5, 571.0, 1100.0, 759.0, 1071.0, 786.0, 1223.0, 598.0, 1252.0
grp1, 2.png, 4, 219.0, 1100.0, 407.0, 1071.0, 435.0, 1223.0, 246.0, 1252.0
grp1, 2.png, 3, 688.0, 690.0, 876.0, 661.0, 903.0, 813.0, 715.0, 842.0
grp1, 2.png, 2, 219.0, 690.0, 407.0, 661.0, 435.0, 813.0, 246.0, 842.0
grp1, 2.png, 1, 805.0, 162.0, 993.0, 134.0, 1020.0, 286.0, 832.0, 315.0
grp1, 2.png, 0, 219.0, 162.0, 407.0, 134.0, 435.0, 286.0, 246.0, 315.0
grp1, 3.png, 7, 641.0, 1393.0, 829.0, 1364.0, 856.0, 1516.0, 668.0, 1545.0
grp1, 3.png, 6, 313.0, 1393.0, 501.0, 1364.0, 528.0, 1516.0, 340.0, 1545.0
grp1, 3.png, 5, 618.0, 1100.0, 806.0, 1071.0, 833.0, 1223.0, 645.0, 1252.0
grp1, 3.png, 4, 243.0, 1100.0, 431.0, 1071.0, 458.0, 1223.0, 270.0, 1252.0
grp1, 3.png, 3, 700.0, 690.0, 888.0, 661.0, 915.0, 813.0, 727.0, 842.0
grp1, 3.png, 2, 225.0, 690.0, 413.0, 661.0, 440.0, 813.0, 252.0, 842.0
grp1, 3.png, 1, 808.0, 162.0, 996.0, 134.0, 1023.0, 286.0, 835.0, 315.0
grp1, 3.png, 0, 219.0, 162.0, 407.0, 134.0, 435.0, 286.0, 246.0, 315.0
grp1, 4.png, 7, 460.0, 1383.0, 597.0, 1338.0, 662.0, 1527.0, 525.0, 1572.0
grp1, 4.png, 6, 225.0, 1383.0, 363.0, 1338.0, 428.0, 1527.0, 291.0, 1572.0
grp1, 4.png, 5, 577.0, 1090.0, 715.0, 1045.0, 780.0, 1234.0, 643.0, 1279.0
grp1, 4.png, 4, 225.0, 1090.0, 363.0, 1045.0, 428.0, 1234.0, 291.0, 1279.0
grp1, 4.png, 3, 694.0, 680.0, 832.0, 635.0, 897.0, 824.0, 760.0, 869.0
grp1, 4.png, 2, 225.0, 680.0, 363.0, 635.0, 428.0, 824.0, 291.0, 869.0
grp1, 4.png, 1, 811.0, 153.0, 949.0, 107.0, 1014.0, 296.0, 877.0, 342.0
grp1, 4.png, 0, 226.0, 152.0, 363.0, 107.0, 428.0, 296.0, 291.0, 342.0
grp1, 5.png, 7, 647.0, 1383.0, 785.0, 1338.0, 850.0, 1527.0, 713.0, 1572.0
grp1, 5.png, 6, 319.0, 1383.0, 457.0, 1338.0, 522.0, 1527.0, 385.0, 1572.0
grp1, 5.png, 5, 624.0, 1090.0, 761.0, 1045.0, 826.0, 1234.0, 689.0, 1279.0
grp1, 5.png, 4, 249.0, 1090.0, 386.0, 1045.0, 451.0, 1234.0, 314.0, 1279.0
grp1, 5.png, 3, 706.0, 680.0, 844.0, 635.0, 909.0, 823.0, 771.0, 869.0
grp1, 5.png, 2, 231.0, 680.0, 369.0, 635.0, 434.0, 824.0, 297.0, 869.0
grp1, 5.png, 1, 814.0, 153.0, 952.0, 107.0, 1017.0, 296.0, 880.0, 342.0
grp1, 5.png, 0, 226.0, 152.0, 363.0, 107.0, 428.0, 296.0, 291.0, 342.0
grp1, 6.png, 7, 465.0, 1381.0, 668.0, 1387.0, 657.0, 1528.0, 455.0, 1522.0
